profile_id,ss_id,log_time,act_target_dtl,album_id,payment
255,20220426153942,20220426154128,MKID004,3767,500
1603,20220309163919,20220309164043,MKID004,1640,300
5303,20220411080324,20220411082725,MKID004,3821,500
5303,20220411080324,20220411084013,MKID004,3822,500
5303,20220411080324,20220411085607,MKID004,3823,500
5303,20220411080324,20220411090838,MKID004,3824,500
5303,20220411080324,20220411092024,MKID004,3825,500
5303,20220411080324,20220411093213,MKID004,3826,500
5303,20220411080324,20220411094441,MKID004,3827,500
5303,20220411123359,20220411134124,MKID004,3828,500
5303,20220413115632,20220413135744,MKID004,3829,500
5629,20220308121025,20220308121154,MKID004,17873,6300
5629,20220308121025,20220308121154,MKID004,17873,6300
7394,20220308182618,20220308182750,MKID004,4723,500
7394,20220326162816,20220326162851,MKID004,4962,500
7394,20220327204641,20220327205052,MKID004,19498,500
7394,20220401162843,20220401163111,MKID004,15558,500
7394,20220401162843,20220401163832,MKID004,15552,500
7394,20220401162843,20220401164552,MKID004,8591,500
7394,20220404181121,20220404181311,MKID004,10334,500
7394,20220404181121,20220404182129,MKID004,19499,500
7394,20220404181121,20220404183042,MKID004,18950,500
7394,20220407174831,20220407175132,MKID004,19501,500
7394,20220407174831,20220407195944,MKID004,15544,500
7394,20220420195709,20220420195924,MKID004,19502,500
8410,20220409202530,20220409204046,MKID004,5274,500
8410,20220410210551,20220410211545,MKID004,10451,500
8410,20220411201641,20220411202113,MKID004,10452,500
8410,20220412201703,20220412201808,MKID004,10453,500
8410,20220412201703,20220412202800,MKID004,10454,4200
8410,20220414162254,20220414162426,MKID004,1729,1200
10416,20220313181659,20220313182413,MKID004,1734,500
10416,20220313181659,20220313184339,MKID004,444,1400
10416,20220313181659,20220313184356,MKID004,3460,2500
10416,20220313181659,20220313184444,MKID004,443,1200
10416,20220313181659,20220313184459,MKID004,1729,1200
10416,20220313181659,20220313184519,MKID004,6536,1200
10416,20220313181659,20220313185549,MKID004,1732,1200
10416,20220313181659,20220313185929,MKID004,1731,1200
10416,20220313190416,20220313193435,MKID004,8437,1400
10416,20220314191043,20220314191232,MKID004,4865,500
10416,20220314191043,20220314191454,MKID004,445,500
10416,20220314191043,20220314193845,MKID004,12166,1500
10416,20220321205204,20220321205830,MKID004,444,1400
10416,20220322202113,20220322202307,MKID004,443,1200
