profile_id,ss_id,log_time,act_target_dtl,album_id
59,20220303183951,20220303183914,MKID017,2141
59,20220303183951,20220303183914,MKID017,2141
59,20220303183951,20220303183914,MKID017,2141
59,20220304181433,20220304181525,MKID017,512
59,20220304181433,20220304182447,MKID017,2141
59,20220312071555,20220312071637,MKID017,2142
59,20220312071555,20220312081857,MKID017,2142
59,20220312071555,20220312082336,MKID017,2143
59,20220317195510,20220318195440,MKID017,2150
59,20220326091311,20220326091329,MKID017,2142
59,20220401092854,20220401092812,MKID017,2157
59,20220401092854,20220401092812,MKID017,2157
59,20220401092762,20220401092842,MKID017,2158
59,20220401092762,20220401092842,MKID017,2158
59,20220401181442,20220401181606,MKID017,2157
59,20220401181442,20220401182341,MKID017,2158
59,20220401181442,20220401183012,MKID017,2056
59,20220401181442,20220401183634,MKID017,2159
59,20220413191334,20220413191412,MKID017,2160
59,20220413191334,20220413192254,MKID017,352
63,20220425180030,20220425180337,MKID017,1982
63,20220425180030,20220425182407,MKID017,2339
264,20220301101433,20220301101451,MKID017,3007
264,20220301101433,20220301102427,MKID017,2141
264,20220301101433,20220301103549,MKID017,3017
264,20220301101433,20220301104555,MKID017,2102
264,20220301101433,20220301105523,MKID017,1893
264,20220303174713,20220303174740,MKID017,2104
264,20220303174713,20220303175716,MKID017,1895
264,20220303174713,20220303180734,MKID017,2105
264,20220303174713,20220303181702,MKID017,2103
264,20220306134244,20220306134254,MKID017,2105
264,20220306134244,20220306135104,MKID017,2103
264,20220306134244,20220306135834,MKID017,1896
264,20220306134244,20220306145529,MKID017,1896
264,20220315181013,20220315224232,MKID017,2449
264,20220315181013,20220315224357,MKID017,2449
264,20220316201047,20220316204104,MKID017,2449
264,20220318090832,20220318090901,MKID017,2449
264,20220321192708,20220321192740,MKID017,352
264,20220321192708,20220321193606,MKID017,2322
264,20220324180649,20220324185356,MKID017,352
264,20220324180649,20220324190227,MKID017,2322
264,20220324180649,20220324191443,MKID017,2322
264,20220324180649,20220324191659,MKID017,424
264,20220324180649,20220324191719,MKID017,380
264,20220324180649,20220324192255,MKID017,3020
264,20220326083251,20220326084638,MKID017,380
264,20220331172213,20220331220439,MKID017,352
264,20220404213529,20220404213608,MKID017,4417
264,20220404213529,20220404214013,MKID017,4419
411,20220322185815,20220322185950,MKID017,5612
411,20220322185815,20220322191534,MKID017,5614
411,20220322185815,20220322200115,MKID017,5617
411,20220410123810,20220410124004,MKID017,5634
411,20220410123810,20220410132302,MKID017,5637
411,20220410123810,20220410133643,MKID017,5638
411,20220410123810,20220410140334,MKID017,5640
411,20220410123810,20220410142101,MKID017,5642
411,20220414200857,20220414210148,MKID017,5643
411,20220414200857,20220414211650,MKID017,5644
459,20220308160113,20220308160142,MKID017,5969
459,20220314123953,20220314124242,MKID017,1869
